consentimento,TI01[SQ001],TI01[SQ002],TI01[SQ004],TI01[SQ003],TI01[SQ005],TI01[SQ006],TI01[SQ007],TI01[SQ008],TI02[SQ001],TI02[SQ002],TI02[SQ003],TI02[SQ004],TI02[SQ005],TI02[SQ006],TI02[SQ007],TI02[SQ008],TI02[SQ009],hab2,hab3,hab4,HAB01[SQ001],HAB01[SQ002],HAB01[SQ003],HAB01[SQ004],HAB01[SQ005],HAB01[SQ006],HAB01[SQ007],HAB01[SQ008],hab5[SQ007],hab5[SQ008],hab5[SQ002],hab5[SQ001],hab5[SQ003],hab5[SQ004],hab5[SQ005],hab5[SQ006],hab6[SQ001],hab6[SQ002],hab6[SQ003],hab6[SQ004],hab7[SQ001],hab7[SQ002],hab7[SQ003],hab7[SQ004],octs1,octs2,octs3,octs4[SQ001],octs4[SQ002],octs4[SQ003],octs4[SQ004],octs5[SQ001],octs5[SQ002],octs5[SQ003],octs5[SQ004],octs5[SQ005],octs6[SQ001],octs6[SQ002],octs6[SQ003],octs6[SQ004],octs6[SQ005],octs6[SQ006],odc2,odc4[SQ001],odc4[SQ002],odc4[SQ003],odc4[SQ004],odc4[SQ005],odc4[SQ006],odc4[SQ007],odc4[SQ008],odc4[SQ009],odc1[SQ001],odc1[SQ002],odc1[SQ003],odc1[SQ004],odc1[SQ005],odc1[SQ006],odc1[SQ007],odc3[SQ001],odc3[SQ002],odc3[SQ003],odc3[SQ004],odc3[SQ005],odc3[SQ006],odc3[SQ007],odc3[SQ008],odc3[SQ009],adc2,adc8,adc4,adc5,adc07,adc1[SQ001],adc1[SQ002],adc1[SQ003],adc1[SQ004],adc1[SQ005],adc1[SQ006],adc1[SQ007],adc1[SQ008],adc1[SQ009],adc1[SQ010],adc1[SQ011],adc1[SQ012],adc1[SQ013],adc1[SQ014],adc1[SQ015],adc3[SQ001],adc3[SQ002],adc3[SQ003],adc3[SQ004],adc6[SQ001],adc6[SQ002],adc6[SQ003],MO01[SQ001],MO01[SQ002],MO01[SQ003],MO01[SQ004],MO01[SQ005],MO01[SQ006],MO01[SQ007],MO01[SQ008],MO01[SQ009],MO01[SQ010],MO01[SQ011],MO01[SQ012],MO01[SQ013],MO02[SQ001],MO02[SQ002],MO02[SQ003],MO02[SQ004],MO02[SQ005],MO02[SQ006],MO02[SQ007],MO02[SQ008],MO02[SQ009],MO02[SQ010],MO02[SQ011],MO02[SQ012],MO03[SQ001],MO03[SQ002],MO03[SQ003],MO03[SQ004],MO03[SQ005],MO03[SQ006],MO03[SQ007],MO03[SQ008],MO05,MO07,MO04[SQ001],MO04[SQ002],MO04[SQ003],MO04[SQ004],MO06[SQ001],MO06[SQ002],MO06[SQ003],MO06[SQ004],VAL01[SQ001],VAL01[SQ002],VAL01[SQ003],VAL01[SQ004],VAL01[SQ005],VAL01[SQ006],VAL01[SQ007],VAL01[SQ008],VAL01[SQ009],VAL01[SQ010],VAL02[SQ001],VAL02[SQ002],VAL02[SQ003],VAL02[SQ004],VAL02[SQ005],CE02,CE03,CE04,CE05,CE06,CE10,CE07,CE08,CE11,CE13,CE14
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Interessado,Pouco Interessado,Pouco Interessado,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Internet ,Insuficiente,Negativas,Frequentemente,Nunca,Às vezes,Às vezes,Às vezes,Frequentemente,Às vezes,Raramente,Prejudicial,Prejudicial,Prejudicial,Não causa prejuízos,Não causa prejuízos,Não causa prejuízos,,Prejudicial,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,Atrasado,Muitos benefícios,Poucos riscos,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Nada preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Interessado,Interessado,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Revistas e jornais científicos,Insuficiente,Positivas,Raramente,Raramente,Às vezes,Raramente,Frequentemente,Raramente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Não causa prejuízos,Um pouco prejudicial,Irrelevante para a ciência,Não causa prejuízos,Irrelevante para a ciência,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,Intermediário,Muitos benefícios,Nenhum risco,Discordo em partes,Concordo totalmente,Concordo em partes,Discordo em partes,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Nada preocupado,Nada preocupado,Muito preocupado,Preocupado,Muito preocupado,Muito preocupado,Muito importante,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Concordo totalmente,Muito importante,Muito importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Importante,"Em geral, não",Sobre os resultados de sua pesquisa,1,1,Não,mais de 5 vezes,Nenhuma vez,Nenhuma vez,2 vezes,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,,Importante,Importante,Raramente,Nunca,Nunca,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Concordo totalmente,Não,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Fundamental,Branca,Ateu ou agnóstico,Importante,tanto ciência básica como aplicada,De esquerda,1A,Engenharias,Nordeste,5
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Pouco Interessado,Muito Interessado,Interessado,Interessado,Pouco Interessado,Interessado,Interessado,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Revista Brasileira de Política Internacional - RBPI; Ambiente e Sociedade; Carta Internacional; Contexto Internacional,Insuficiente,,,,,,,,,,Muito prejudicial,Muito prejudicial,,Não causa prejuízos,Prejudicial,Não causa prejuízos,,,7.0,7.0,10.0,9.0,8.0,9.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Discordo em parte,Extremamente preocupado,Preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Preocupado,Muito importante,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Concordo em parte,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",2,1,,2 vezes,Nenhuma vez,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,4 vezes,1 vez,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,1 vez,2 vezes,3 vezes,Muito importante,,Muito importante,Importante,Raramente,Frequentemente,,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Concordo totalmente,,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz","Sim, já fiz",Feminino,Ensino Fundamental Incompleto,Parda,Cristã católica ,Importante,ciência aplicada,Liberal,2,Ciências Humanas,Sudeste,27
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Interessado,Interessado,Pouco Interessado,Interessado,Interessado,Pouco Interessado,Interessado,,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Revistas,Insuficiente,Negativas,Às vezes,Às vezes,Raramente,Raramente,Raramente,Raramente,Às vezes,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Não causa prejuízos,Muito prejudicial,Irrelevante para a ciência,Não causa prejuízos,Muito prejudicial,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em partes,Concordo totalmente,Discordo em parte,Concordo totalmente,Discordo em parte,Concordo totalmente,Nada preocupado,Nada preocupado,Muito preocupado,Muito preocupado,Extremamente preocupado,Preocupado,Muito importante,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não sei,Concordo totalmente,Não sei,Discordo totalmente,Concordo em parte,Discordo em parte,Concordo em parte,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Um pouco importante,Um pouco importante,Muito importante,Muito importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",,,Não,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Muito importante,Muito importante,Muito importante,Muito importante,Frequentemente,Nunca,Nunca,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,,Não,Não conheço,Não conheço,Não conheço,Não conheço,Não conheço,Participei como docente,Não conheço,Não conheço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Não fiz, e não faria de jeito nenhum",Não sei,Masculino,Ensino Médio,Branca,Cristã Protestantes históricas ,Importante,ciência básica,De esquerda,1D,Ciências Biológicas,Sudeste,11
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Interessado,Interessado,Muito Interessado,Muito Interessado,Pouco Interessado,Interessado,Interessado,Não,Não,Não,Não,Não,Não,Não,Sim,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Pouco Interessado,Interessado,Muito Interessado,Muito Interessado,Pouco Interessado,Muito Interessado,Interessado,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Pesquisa (FAPESP) Ciência e Cultura (SBPC) Ciência Hoje (SBPC) História Hoje (Anpuh) Dados (FGV),Insuficiente,Positivas,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Um pouco prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Concordo totalmente,Preocupado,Nada preocupado,Preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Concordo totalmente,Um pouco importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Um pouco importante,Importante,Importante,Raramente,Sobre temas controversos de interesse público nos quais você tem alguma expertise.,12,12,Não,mais de 5 vezes,1 vez,Nenhuma vez,3 vezes,Nenhuma vez,1 vez,3 vezes,1 vez,3 vezes,1 vez,1 vez,Nenhuma vez,Nenhuma vez,3 vezes,Nenhuma vez,Muito importante,,Muito importante,Importante,,Nunca,,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Concordo totalmente,Sim,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Pertenço e frequento,,,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Pertenço e frequento,Pertenço e frequento,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Médio,,Cristã católica ,Importante,tanto ciência básica como aplicada,Liberal,1A,Ciências Humanas,Centro-Oeste,45
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Pouco Interessado,Interessado,Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Pouco Interessado,Não sei,Não,Sim,Sim,Não,Não,Não,Não,Não,,Razoável,Negativas,Frequentemente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Prejudicial,Prejudicial,Muito prejudicial,Não causa prejuízos,Muito prejudicial,Não causa prejuízos,Não causa prejuízos,Muito prejudicial,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo em partes,Concordo em partes,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Pouco importante,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Importante,Muito importante,Um pouco importante,Nada importante,Um pouco importante,Importante,Importante,Importante,Um pouco importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",,,Não,2 vezes,2 vezes,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Não sei,Pouco importante,Importante,Não sei,Nunca,Nunca,Raramente,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Ensino Médio,Parda,Não tenho religião,,ciência básica,De esquerda,2,Ciências Exatas e da Terra,Sudeste,7
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Pouco Interessado,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Revista Pesquisa FAPESP,Insuficiente,Positivas,Frequentemente,Frequentemente,Raramente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Não causa prejuízos,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Discordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Muito preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo em parte,Discordo em parte,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Em geral sim,Sobre os resultados de sua pesquisa,15,15,Não,2 vezes,mais de 5 vezes,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,3 vezes,mais de 5 vezes,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,mais de 5 vezes,mais de 5 vezes,Muito importante,Importante,Muito importante,Muito importante,Frequentemente,Frequentemente,Não se aplica a mim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Concordo totalmente,Não,Participei como aluno,Participei como aluno,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Feminino,Ensino Superior,Branca,Não tenho religião,,tanto ciência básica como aplicada,De esquerda,1D,Ciências da Saúde,Sudeste,15
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Muito Interessado,Muito Interessado,Interessado,Nada Interessado,Interessado,Interessado,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Radio Cultura FM?RS,Insuficiente,Positivas,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Raramente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Não causa prejuízos,Não causa prejuízos,Não causa prejuízos,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Em geral sim,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",12,12,Não,mais de 5 vezes,mais de 5 vezes,5 vezes,mais de 5 vezes,5 vezes,mais de 5 vezes,mais de 5 vezes,mais de 5 vezes,mais de 5 vezes,mais de 5 vezes,mais de 5 vezes,4 vezes,3 vezes,mais de 5 vezes,mais de 5 vezes,Muito importante,Muito importante,Muito importante,Muito importante,Frequentemente,Raramente,Raramente,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Concordo totalmente,Sim,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,"Pertenço, mas não frequento muito",Não pertenço,Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,Pertenço e frequento,Pertenço e frequento,Pertenço e frequento,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Feminino,Ensino Fundamental Incompleto,Branca,Cristã católica ,Importante,tanto ciência básica como aplicada,De esquerda,2,Ciências Sociais Aplicadas,Sul,30
